Ticker,Date,Tweetcount,Indicoscore,Textblobscore,Price
IBM,11/19/15,44,0.338432,0.057159,136.74
DIS,12/1/15,44,0.412906,0.070971,115.39
JPM,11/19/15,44,0.464529,0.030002,67.66
JPM,12/4/15,43,0.486348,0.002981,67.89
XOM,11/4/15,43,0.574008,0.006711,85.98
VZ,12/9/15,43,0.578964,0.017697,45.36
NKE,12/1/15,43,0.438435,0.062491,133.31
HD,12/9/15,43,0.597316,0.040349,131.9
CSCO,12/9/15,42,0.56236,0.057979,26.73
DIS,11/24/15,42,0.554893,0.102857,117.95
MCD,11/5/15,42,0.499312,0.313452,112.85
IBM,12/9/15,42,0.457214,0.017976,136.61
IBM,11/4/15,42,0.558284,0.082092,141.63
INTC,12/3/15,41,0.416065,0.049024,34.04
CSCO,11/4/15,41,0.634451,0.048095,28.47
V,12/9/15,41,0.485102,0.014024,77.88
WMT,12/1/15,40,0.526987,0.113647,58.99
CVX,11/27/15,40,0.398373,-0.020479,90.37
CVX,11/4/15,40,0.523092,0.047068,96.77
MRK,12/11/15,40,0.382719,0.04042,52.15
CSCO,11/19/15,39,0.540891,0.008588,27.37
V,11/5/15,39,0.575411,0.097492,79.26
WMT,12/4/15,39,0.45396,0.001303,59.66
PFE,12/4/15,39,0.457568,0.023958,32.8
INTC,12/10/15,39,0.448795,-0.020045,34.77
IBM,12/8/15,39,0.472263,0.012582,138.05
MSFT,12/10/15,39,0.552146,0.087937,55.27
GE,12/3/15,38,0.505604,0.137434,30.03
MCD,12/4/15,38,0.480189,0.072078,116.2
PG,12/9/15,38,0.527751,0.00622,77.7
MCD,11/4/15,38,0.491306,0.052122,112.4
CSCO,12/3/15,38,0.504676,0.02141,26.95
CSCO,12/4/15,38,0.437992,0.092538,27.48
GS,11/24/15,38,0.472421,0.02774,188.67
INTC,12/8/15,37,0.34967,-0.033189,34.75
PG,11/13/15,37,0.495778,0.059122,73.96
CSCO,12/11/15,37,0.586932,0.103089,26.16
CAT,11/27/15,37,0.466144,0.089175,71.22
HD,12/10/15,36,0.459399,0.082816,132.54
V,11/19/15,36,0.582433,0.040418,80.15
V,12/4/15,36,0.453559,0.081667,80.4
PFE,12/9/15,36,0.497148,0.059794,32.29
MRK,12/9/15,36,0.545633,0.073651,52.82
MCD,11/27/15,36,0.457648,0.065816,114.23
JNJ,11/27/15,36,0.378869,0.037103,102.37
IBM,12/3/15,36,0.342933,0.005597,138.92
JNJ,12/4/15,36,0.452141,0.02953,102.95
V,11/4/15,35,0.606743,0.188903,78.35
XOM,12/2/15,35,0.542612,0.055286,79.55
XOM,12/8/15,35,0.488938,0.012143,74.63
DD,11/5/15,34,0.265941,0.052495,64.81
CAT,11/25/15,34,0.600385,0.033211,71.49
HD,11/19/15,34,0.487242,0.069528,126.86
NKE,11/5/15,34,0.479541,0.021373,131.86
JPM,12/3/15,34,0.451569,0.055147,65.8
BA,11/6/15,34,0.426576,0.053717,147.94
DIS,12/8/15,34,0.486412,0.058649,112.48
KO,11/6/15,34,0.564702,0.112615,41.96
CVX,12/3/15,34,0.469239,-0.021691,88.85
WMT,12/8/15,34,0.462195,0.042647,59.61
MCD,12/3/15,33,0.466656,0.018561,113.39
KO,12/11/15,33,0.437445,0.118891,42.27
KO,11/27/15,33,0.545186,0.143598,43.15
GE,12/1/15,33,0.46592,0.063095,30.17
HD,11/6/15,32,0.509993,0.037762,125.98
WMT,11/24/15,32,0.494576,0.067429,59.92
CAT,11/13/15,32,0.423071,0.030833,69.63
JPM,12/11/15,32,0.393288,0.136588,64.07
MRK,11/27/15,32,0.545058,0.124375,53.96
KO,12/10/15,31,0.39859,0.049194,42.76
HD,12/11/15,31,0.5451,0.046935,130.44
VZ,11/4/15,31,0.550841,0.026857,46.14
JPM,12/9/15,31,0.415053,0.027146,65.46
IBM,11/24/15,31,0.473961,-0.000161,138.6
MMM,11/13/15,30,0.701698,0.013258,155.65
UNH,11/25/15,30,0.561296,0.057454,114.41
CVX,12/8/15,30,0.478781,0.034167,86.44
WMT,12/9/15,30,0.545345,-0.012167,59.13
CAT,11/5/15,29,0.614356,0.189855,74.22
MCD,12/1/15,29,0.3459,0.054152,114.45
MRK,12/8/15,29,0.436533,-0.016593,53.47
HD,12/3/15,29,0.595062,0.078448,130.93
JNJ,12/3/15,29,0.392237,0.049697,100.79
JNJ,11/25/15,28,0.521475,0.020685,101.96
XOM,12/4/15,28,0.570398,-0.02634,78.86
PG,11/6/15,28,0.468989,0.081688,75.57
CSCO,12/1/15,28,0.523123,0.078765,27.57
KO,11/24/15,28,0.372932,0.037945,43.36
INTC,12/1/15,28,0.463873,-0.011688,35.09
JNJ,12/10/15,28,0.178232,0.020303,102.64
JNJ,11/19/15,28,0.430176,0.049394,102.49
AXP,11/13/15,28,0.396984,-0.004827,71.2
CAT,12/8/15,28,0.428271,0.007955,66.54
MSFT,12/8/15,27,0.475892,0.063066,55.79
V,12/3/15,27,0.484617,0.031716,78.29
XOM,12/1/15,27,0.528456,-0.039043,81.89
DD,11/27/15,27,0.470362,0.143519,67.09
JNJ,11/13/15,27,0.469306,0.036111,99.88
AXP,11/19/15,26,0.553083,0,72.74
V,12/10/15,26,0.43918,0.038013,78.12
JNJ,12/8/15,26,0.613802,0.010577,102.42
CVX,12/1/15,26,0.500156,0.111442,92.48
MMM,11/5/15,26,0.694632,0.02857,158.99
DIS,12/2/15,26,0.495651,0.008585,114
VZ,12/4/15,25,0.54114,0.023055,45.71
KO,12/3/15,25,0.558304,0.043127,42.46
VZ,11/27/15,24,0.619709,0.124479,45.23
PFE,12/1/15,24,0.433484,0.031193,33.62
PG,12/3/15,24,0.383725,0.053551,75.74
HD,11/24/15,24,0.552534,0.013106,133.6
PG,12/8/15,24,0.52257,0.061458,77.75
KO,11/5/15,23,0.675947,0.025483,42.33
CAT,12/3/15,23,0.398365,-0.001087,69.64
MMM,12/1/15,23,0.48231,-0.003261,156.9
TRV,11/25/15,23,0.560631,0.07281,114.8
JPM,12/10/15,23,0.582801,0.117441,65.61
MMM,11/25/15,22,0.505307,-0.006174,157.63
AXP,12/9/15,22,0.589433,-0.0125,69.86
INTC,12/2/15,22,0.435055,0.051089,34.83
CAT,11/4/15,22,0.499993,0.045351,74.55
PG,12/4/15,22,0.385316,-0.019886,77.83
MRK,12/4/15,22,0.456547,0.097417,53.64
KO,12/4/15,22,0.368769,0.014229,43.29
MSFT,12/7/15,22,0.371482,0.033117,55.81
UNH,12/3/15,22,0.448366,0.181336,115
UTX,12/9/15,22,0.484123,0.006136,94.16
V,12/1/15,22,0.457184,0.060682,79.91
HD,12/1/15,22,0.51499,0.026875,134.43
CAT,11/24/15,22,0.561758,0.012335,71.4
VZ,11/19/15,22,0.58804,0.03082,45.76
CAT,12/1/15,21,0.576266,0.012857,71.56
KO,12/9/15,21,0.667859,0.056548,42.66
KO,11/19/15,21,0.439639,-0.042857,43.11
PFE,12/8/15,21,0.528676,0.004257,32.53
CSCO,11/24/15,21,0.477844,0.026429,27.27
AXP,11/27/15,21,0.422104,0.007619,71.85
GE,11/24/15,21,0.464053,-0.013095,30.66
JNJ,12/1/15,21,0.355736,0.020476,102.36
PG,12/11/15,21,0.578787,0.018948,77.78
MRK,11/13/15,21,0.368969,0.013492,53.03
IBM,12/10/15,21,0.494167,0.073268,136.78
IBM,12/2/15,21,0.525499,0.010476,139.7
PFE,11/13/15,21,0.474113,0.138619,33.27
CVX,11/19/15,20,0.549524,0.087458,90.83
IBM,12/1/15,20,0.444295,0.030689,141.28
WMT,12/2/15,20,0.54488,0.0125,58.35
PFE,12/10/15,20,0.56504,0.050065,32.36
V,12/8/15,20,0.523933,-0.020625,79.07
CVX,11/24/15,20,0.539968,0.005568,91.35
BA,11/25/15,20,0.504522,0.11786,147.43
JPM,12/1/15,19,0.372333,0.026974,67.61
CVX,12/4/15,19,0.450231,0.01494,89.71
UTX,11/24/15,19,0.571462,0.063246,97.36
MCD,12/2/15,19,0.471876,0.108421,113.72
DD,12/1/15,19,0.486671,0.014211,67.28
PG,12/10/15,18,0.475907,0.003093,77.79
XOM,11/24/15,18,0.652468,0.070833,81.88
UNH,12/11/15,18,0.524328,0.072222,115.98
KO,12/8/15,18,0.42433,0.020833,43.01
HD,12/2/15,18,0.442558,0.030303,133.81
UTX,12/11/15,18,0.480167,0.117153,93.3
MRK,11/19/15,18,0.461431,-0.005648,54.28
HD,11/4/15,17,0.690087,0.038738,125.38
JPM,12/2/15,17,0.422981,-0.014869,66.66
KO,11/13/15,17,0.618137,-0.007353,41.38
MRK,12/3/15,17,0.453941,0.151025,52.59
MCD,11/24/15,17,0.502641,0.140882,114.28
JNJ,11/24/15,17,0.410545,0.083466,102.04
MMM,11/27/15,17,0.719677,0.176471,157.99
PG,11/27/15,17,0.492187,-0.010695,75.7
DD,11/25/15,17,0.635413,0.035406,67.26
BA,11/27/15,17,0.467676,-0.002206,146.95
IBM,12/7/15,17,0.166995,0,139.55
CSCO,12/10/15,17,0.52684,0.118388,26.77
NKE,11/4/15,16,0.374881,0.012892,130.36
GE,12/2/15,16,0.41011,0.010938,29.97
UNH,11/27/15,16,0.579611,0.02983,114.34
MRK,12/10/15,16,0.505564,0.107008,53.69
AXP,12/4/15,16,0.308168,0.020625,71.1
PG,11/24/15,16,0.488938,0.06946,76.45
DD,11/19/15,16,0.55048,0.092604,66.99
V,11/24/15,16,0.539313,0.03175,79.79
HD,12/8/15,16,0.590821,-0.001563,133.84
UNH,11/4/15,16,0.512502,0.105018,114.64
JPM,11/24/15,16,0.523869,0.163665,66.78
UTX,12/1/15,15,0.517606,0,96.7
DD,11/24/15,15,0.564774,-0.001667,67.42
PG,11/4/15,15,0.540226,0.051145,77.06
KO,11/4/15,15,0.419503,0.089208,41.97
PFE,12/2/15,15,0.414154,0.045,32.9
VZ,12/11/15,15,0.436882,0.211818,44.82
UNH,11/24/15,15,0.698263,0.005667,113.19
BA,12/8/15,15,0.486766,0.043182,144.99
BA,11/24/15,15,0.613097,0.027222,148.65
BA,11/19/15,15,0.313574,0.129111,149.24
MMM,12/3/15,15,0.518501,0,154.38
AXP,11/6/15,15,0.489767,0.100528,74.3
PG,11/5/15,14,0.485172,0.013988,76.39
UNH,12/9/15,14,0.625435,0.079143,115.05
MRK,11/24/15,14,0.519439,0.175756,53.48
MCD,12/8/15,14,0.497515,0.0369,116.53
UNH,11/5/15,14,0.390853,0.044805,116.23
DIS,12/7/15,14,0.324257,0.075857,113.83
DD,12/4/15,14,0.607535,0.055931,67.75
MMM,12/10/15,13,0.660637,0.012308,157.52
MMM,12/4/15,13,0.586198,0,158.22
PFE,11/18/15,13,0.381024,0.123077,33.31
JPM,12/8/15,13,0.373754,-0.020192,65.96
HD,11/5/15,13,0.326415,0.05641,125.72
UTX,11/6/15,13,0.437505,0.069056,100.8
UTX,11/13/15,13,0.475644,0.054274,96.48
AXP,11/4/15,13,0.743115,0.642358,74.07
AXP,12/8/15,12,0.416007,-0.022917,69.91
BA,11/13/15,12,0.459145,0.065139,142.59
PG,11/19/15,12,0.430477,0.029792,76.22
UNH,12/4/15,12,0.475796,0.025057,117.74
